,transposed conv kernel,small parallel trans kernel,use ConNeXt backbone,backbone convolution kernel,parallel small conv backbone,epsilon,mIoU,mAcc,allAcc
0,17,0,True,11,3,0.15,0.4348,0.6459,0.8136
1,17,0,True,11,3,0.25,0.4210,0.6174,0.8069
2,17,0,True,11,3,0.2,0.4281,0.6330,0.8102
3,17,0,True,11,3,0.3,0.4128,0.5995,0.8026
4,17,0,True,11,3,0.05,0.4572,0.6741,0.8250
5,17,0,True,11,3,0.0,0.7071,0.8447,0.9278
6,17,0,True,11,3,0.1,0.4425,0.6586,0.8172
7,15,0,True,7,0,0.15,0.4364,0.6475,0.8163
8,15,0,True,7,0,0.25,0.4202,0.6175,0.8112
9,15,0,True,7,0,0.2,0.4268,0.6318,0.8131
10,15,0,True,7,0,0.3,0.4123,0.5987,0.8103
11,15,0,True,7,0,0.05,0.4597,0.6763,0.8273
12,15,0,True,7,0,0.0,0.7034,0.8431,0.9268
13,15,0,True,7,0,0.1,0.4457,0.6618,0.8201
14,9,0,True,11,3,0.15,0.4359,0.6452,0.8137
15,9,0,True,11,3,0.25,0.4196,0.6123,0.8088
16,9,0,True,11,3,0.2,0.4287,0.6307,0.8112
17,9,0,True,11,3,0.3,0.4092,0.5914,0.8060
18,9,0,True,11,3,0.05,0.4594,0.6754,0.8238
19,9,0,True,11,3,0.0,0.7132,0.8461,0.9296
20,9,0,True,11,3,0.1,0.4428,0.6578,0.8159
21,5,0,False,3,0,0.15,0.4509,0.6641,0.8200
22,5,0,False,3,0,0.25,0.4393,0.6369,0.8175
23,5,0,False,3,0,0.2,0.4449,0.6512,0.8187
24,5,0,False,3,0,0.3,0.4319,0.6188,0.8160
25,5,0,False,3,0,0.05,0.4690,0.6895,0.8279
26,5,0,False,3,0,0.0,0.7165,0.8492,0.9302
27,5,0,False,3,0,0.1,0.4571,0.6762,0.8223
28,17,0,True,7,0,0.15,0.4323,0.6449,0.8152
29,17,0,True,7,0,0.25,0.4138,0.6069,0.8095
30,17,0,True,7,0,0.2,0.4235,0.6259,0.8125
31,17,0,True,7,0,0.3,0.4038,0.5861,0.8066
32,17,0,True,7,0,0.05,0.4579,0.6805,0.8257
33,17,0,True,7,0,0.0,0.7020,0.8405,0.9274
34,17,0,True,7,0,0.1,0.4432,0.6640,0.8193
35,5,0,True,7,0,0.15,0.4359,0.6506,0.8143
36,5,0,True,7,0,0.25,0.4209,0.6206,0.8090
37,5,0,True,7,0,0.2,0.4293,0.6377,0.8120
38,5,0,True,7,0,0.3,0.4118,0.6022,0.8059
39,5,0,True,7,0,0.05,0.4558,0.6761,0.8241
40,5,0,True,7,0,0.0,0.7086,0.8438,0.9289
41,5,0,True,7,0,0.1,0.4430,0.6624,0.8171
42,15,0,False,3,0,0.15,0.4609,0.6786,0.8218
43,15,0,False,3,0,0.25,0.4497,0.6494,0.8178
44,15,0,False,3,0,0.2,0.4562,0.6667,0.8200
45,15,0,False,3,0,0.3,0.4395,0.6281,0.8144
46,15,0,False,3,0,0.05,0.4806,0.7023,0.8320
47,15,0,False,3,0,0.0,0.7229,0.8569,0.9315
48,15,0,False,3,0,0.1,0.4690,0.6913,0.8255
49,5,0,False,3,0,0.15,0.4544,0.6701,0.8231
50,5,0,False,3,0,0.25,0.4429,0.6426,0.8203
51,5,0,False,3,0,0.2,0.4494,0.6576,0.8217
52,5,0,False,3,0,0.3,0.4351,0.6248,0.8189
53,5,0,False,3,0,0.05,0.4719,0.6929,0.8308
54,5,0,False,3,0,0.0,0.7187,0.8483,0.9311
55,5,0,False,3,0,0.1,0.4593,0.6803,0.8249
56,11,0,True,7,0,0.15,0.4271,0.6312,0.8128
57,11,0,True,7,0,0.25,0.4097,0.5942,0.8059
58,11,0,True,7,0,0.2,0.4194,0.6148,0.8099
59,11,0,True,7,0,0.3,0.3968,0.5692,0.8023
60,11,0,True,7,0,0.05,0.4523,0.6670,0.8244
61,11,0,True,7,0,0.0,0.7056,0.8415,0.9277
62,11,0,True,7,0,0.1,0.4350,0.6457,0.8164
63,5,0,True,11,3,0.15,0.4363,0.6571,0.8120
64,5,0,True,11,3,0.25,0.4211,0.6247,0.8080
65,5,0,True,11,3,0.2,0.4287,0.6412,0.8100
66,5,0,True,11,3,0.3,0.4130,0.6058,0.8063
67,5,0,True,11,3,0.05,0.4581,0.6869,0.8213
68,5,0,True,11,3,0.0,0.7147,0.8540,0.9298
69,5,0,True,11,3,0.1,0.4440,0.6711,0.8146
70,15,0,True,7,0,0.15,0.4347,0.6483,0.8111
71,15,0,True,7,0,0.25,0.4199,0.6232,0.8052
72,15,0,True,7,0,0.2,0.4270,0.6366,0.8076
73,15,0,True,7,0,0.3,0.4119,0.6065,0.8034
74,15,0,True,7,0,0.05,0.4573,0.6755,0.8243
75,15,0,True,7,0,0.0,0.7101,0.8446,0.9294
76,15,0,True,7,0,0.1,0.4430,0.6599,0.8158
77,15,0,False,3,0,0.15,0.4647,0.6749,0.8284
78,15,0,False,3,0,0.25,0.4429,0.6303,0.8213
79,15,0,False,3,0,0.2,0.4556,0.6550,0.8254
