,transposed conv kernel,small parallel trans kernel,use ConNeXt backbone,backbone convolution kernel,parallel small conv backbone,Attack Iterations,mIoU,mAcc,allAcc
0,17,0,True,11,3,100,0.0341,0.1161,0.1244
1,17,0,True,11,3,20,0.0781,0.2521,0.2721
2,17,0,True,11,3,40,0.0488,0.1615,0.1778
3,15,0,True,7,0,100,0.0439,0.1769,0.1307
4,15,0,True,7,0,20,0.0854,0.2913,0.2834
5,15,0,True,7,0,40,0.0597,0.2281,0.1882
6,9,0,True,11,3,100,0.0496,0.1980,0.1573
7,9,0,True,11,3,20,0.0979,0.3209,0.3245
8,9,0,True,11,3,40,0.0687,0.2545,0.2275
9,5,0,False,3,0,100,0.0996,0.3583,0.2625
10,5,0,False,3,0,20,0.1367,0.4318,0.3577
11,5,0,False,3,0,40,0.1146,0.3918,0.2985
12,17,0,True,7,0,100,0.0351,0.1404,0.1154
13,17,0,True,7,0,20,0.0821,0.2799,0.2929
14,17,0,True,7,0,40,0.0494,0.1915,0.1810
15,5,0,True,7,0,100,0.0411,0.1625,0.1161
16,5,0,True,7,0,20,0.0810,0.2831,0.2514
17,5,0,True,7,0,40,0.0568,0.2176,0.1664
18,15,0,False,3,0,100,0.1018,0.3713,0.2450
19,15,0,False,3,0,20,0.1456,0.4558,0.3649
20,15,0,False,3,0,40,0.1171,0.4065,0.2885
21,11,0,True,7,0,100,0.0400,0.1555,0.1195
22,11,0,True,7,0,20,0.0805,0.2849,0.2533
23,11,0,True,7,0,40,0.0554,0.2073,0.1690
24,5,0,True,11,3,100,0.0503,0.1970,0.1442
25,5,0,True,11,3,20,0.0976,0.3232,0.2915
26,5,0,True,11,3,40,0.0691,0.2499,0.2029
27,15,0,True,7,0,100,0.0387,0.1349,0.1206
28,15,0,True,7,0,20,0.0825,0.2719,0.2778
29,15,0,True,7,0,40,0.0543,0.1908,0.1766
30,15,0,False,3,0,100,0.1107,0.3929,0.2798
31,15,0,False,3,0,20,0.1616,0.4800,0.4207
32,15,0,False,3,0,40,0.1299,0.4310,0.3362
33,5,0,True,7,0,100,0.0459,0.1822,0.1210
34,5,0,True,11,3,20,0.0983,0.3410,0.2681
35,5,0,True,11,3,40,0.0693,0.2510,0.1773
36,9,0,False,3,0,100,0.1124,0.3997,0.2643
37,9,0,False,3,0,20,0.1495,0.4643,0.3756
38,9,0,False,3,0,40,0.1281,0.4320,0.3087
39,9,0,True,11,3,100,0.0577,0.2262,0.1399
40,9,0,True,11,3,20,0.1008,0.3515,0.2836
41,9,0,True,11,3,40,0.0734,0.2814,0.1937
42,17,0,True,7,0,100,0.0426,0.1583,0.1166
43,17,0,True,7,0,20,0.0862,0.2956,0.2662
44,17,0,True,7,0,40,0.0589,0.2156,0.1710
45,15,0,False,3,0,100,0.1022,0.3792,0.2501
